"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 22 21:13:48 GMT 2023","Sat Apr 22 21:13:50 GMT 2023","2640","Test","test_conduit","TestConduit","","","Meglévő adat módosítás",""
"passed","Sat Apr 22 21:14:11 GMT 2023","Sat Apr 22 21:14:13 GMT 2023","2312","Test","test_conduit","TestConduit","","","Kijelentkezés",""
"passed","Sat Apr 22 21:12:55 GMT 2023","Sat Apr 22 21:12:58 GMT 2023","2632","Test","test_conduit","TestConduit","","","Regisztráció",""
"passed","Sat Apr 22 21:13:27 GMT 2023","Sat Apr 22 21:13:47 GMT 2023","19419","Test","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból",""
"passed","Sat Apr 22 21:13:12 GMT 2023","Sat Apr 22 21:13:13 GMT 2023","1449","Test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Sat Apr 22 21:14:07 GMT 2023","Sat Apr 22 21:14:10 GMT 2023","2475","Test","test_conduit","TestConduit","","","Adatok lementése felületről",""
"passed","Sat Apr 22 21:13:05 GMT 2023","Sat Apr 22 21:13:11 GMT 2023","5395","Test","test_conduit","TestConduit","","","Adatok listázása",""
"passed","Sat Apr 22 21:12:49 GMT 2023","Sat Apr 22 21:12:54 GMT 2023","5143","Test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat használata",""
"passed","Sat Apr 22 21:13:14 GMT 2023","Sat Apr 22 21:13:26 GMT 2023","11955","Test","test_conduit","TestConduit","","","Új adat bevitel",""
"passed","Sat Apr 22 21:13:52 GMT 2023","Sat Apr 22 21:14:06 GMT 2023","14734","Test","test_conduit","TestConduit","","","Adat vagy adatok törlése",""
"passed","Sat Apr 22 21:12:59 GMT 2023","Sat Apr 22 21:13:04 GMT 2023","5316","Test","test_conduit","TestConduit","","","Bejelentkezés",""
