"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 22 21:11:35 GMT 2023","Sat Apr 22 21:11:54 GMT 2023","19100","Test","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból",""
"passed","Sat Apr 22 21:12:15 GMT 2023","Sat Apr 22 21:12:17 GMT 2023","2469","Test","test_conduit","TestConduit","","","Adatok lementése felületről",""
"passed","Sat Apr 22 21:11:02 GMT 2023","Sat Apr 22 21:11:05 GMT 2023","2402","Test","test_conduit","TestConduit","","","Regisztráció",""
"passed","Sat Apr 22 21:11:13 GMT 2023","Sat Apr 22 21:11:18 GMT 2023","5428","Test","test_conduit","TestConduit","","","Adatok listázása",""
"passed","Sat Apr 22 21:11:55 GMT 2023","Sat Apr 22 21:11:58 GMT 2023","2632","Test","test_conduit","TestConduit","","","Meglévő adat módosítás",""
"passed","Sat Apr 22 21:12:19 GMT 2023","Sat Apr 22 21:12:21 GMT 2023","2304","Test","test_conduit","TestConduit","","","Kijelentkezés",""
"passed","Sat Apr 22 21:11:59 GMT 2023","Sat Apr 22 21:12:14 GMT 2023","14705","Test","test_conduit","TestConduit","","","Adat vagy adatok törlése",""
"passed","Sat Apr 22 21:11:19 GMT 2023","Sat Apr 22 21:11:20 GMT 2023","922","Test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Sat Apr 22 21:11:06 GMT 2023","Sat Apr 22 21:11:11 GMT 2023","5276","Test","test_conduit","TestConduit","","","Bejelentkezés",""
"passed","Sat Apr 22 21:11:21 GMT 2023","Sat Apr 22 21:11:34 GMT 2023","12480","Test","test_conduit","TestConduit","","","Új adat bevitel",""
"passed","Sat Apr 22 21:10:56 GMT 2023","Sat Apr 22 21:11:01 GMT 2023","5063","Test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat használata",""
