"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 10:54:42 GMT 2023","Fri Apr 14 10:54:44 GMT 2023","2311","Test","test_conduit","TestConduit","","","Kijelentkezés",""
"passed","Fri Apr 14 10:53:59 GMT 2023","Fri Apr 14 10:54:17 GMT 2023","18759","Test","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból",""
"passed","Fri Apr 14 10:53:48 GMT 2023","Fri Apr 14 10:53:49 GMT 2023","879","Test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Fri Apr 14 10:53:32 GMT 2023","Fri Apr 14 10:53:35 GMT 2023","2624","Test","test_conduit","TestConduit","","","Regisztráció",""
"passed","Fri Apr 14 10:54:22 GMT 2023","Fri Apr 14 10:54:37 GMT 2023","15137","Test","test_conduit","TestConduit","","","Adat vagy adatok törlése",""
"passed","Fri Apr 14 10:53:26 GMT 2023","Fri Apr 14 10:53:31 GMT 2023","5137","Test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat használata",""
"passed","Fri Apr 14 10:54:18 GMT 2023","Fri Apr 14 10:54:21 GMT 2023","2661","Test","test_conduit","TestConduit","","","Meglévő adat módosítás",""
"passed","Fri Apr 14 10:53:42 GMT 2023","Fri Apr 14 10:53:47 GMT 2023","5390","Test","test_conduit","TestConduit","","","Adatok listázása",""
"passed","Fri Apr 14 10:53:36 GMT 2023","Fri Apr 14 10:53:41 GMT 2023","5315","Test","test_conduit","TestConduit","","","Bejelentkezés",""
"passed","Fri Apr 14 10:53:50 GMT 2023","Fri Apr 14 10:53:58 GMT 2023","7423","Test","test_conduit","TestConduit","","","Új adat bevitel",""
"passed","Fri Apr 14 10:54:38 GMT 2023","Fri Apr 14 10:54:41 GMT 2023","2450","Test","test_conduit","TestConduit","","","Adatok lementése felületről",""
