"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 20:22:06 GMT 2023","Fri Apr 14 20:22:07 GMT 2023","1394","Test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Fri Apr 14 20:23:05 GMT 2023","Fri Apr 14 20:23:08 GMT 2023","2311","Test","test_conduit","TestConduit","","","Kijelentkezés",""
"passed","Fri Apr 14 20:21:53 GMT 2023","Fri Apr 14 20:21:58 GMT 2023","5293","Test","test_conduit","TestConduit","","","Bejelentkezés",""
"passed","Fri Apr 14 20:22:46 GMT 2023","Fri Apr 14 20:23:01 GMT 2023","15127","Test","test_conduit","TestConduit","","","Adat vagy adatok törlése",""
"passed","Fri Apr 14 20:22:42 GMT 2023","Fri Apr 14 20:22:45 GMT 2023","2634","Test","test_conduit","TestConduit","","","Meglévő adat módosítás",""
"passed","Fri Apr 14 20:21:50 GMT 2023","Fri Apr 14 20:21:52 GMT 2023","2505","Test","test_conduit","TestConduit","","","Regisztráció",""
"passed","Fri Apr 14 20:22:08 GMT 2023","Fri Apr 14 20:22:21 GMT 2023","12428","Test","test_conduit","TestConduit","","","Új adat bevitel",""
"passed","Fri Apr 14 20:23:02 GMT 2023","Fri Apr 14 20:23:04 GMT 2023","2456","Test","test_conduit","TestConduit","","","Adatok lementése felületről",""
"passed","Fri Apr 14 20:21:43 GMT 2023","Fri Apr 14 20:21:49 GMT 2023","5097","Test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat használata",""
"passed","Fri Apr 14 20:21:59 GMT 2023","Fri Apr 14 20:22:05 GMT 2023","5384","Test","test_conduit","TestConduit","","","Adatok listázása",""
"passed","Fri Apr 14 20:22:22 GMT 2023","Fri Apr 14 20:22:41 GMT 2023","19154","Test","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból",""
