"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 14 12:56:37 GMT 2023","Fri Apr 14 12:56:37 GMT 2023","0","Test","test_conduit","TestConduit","","","Adatok listázása",""
"broken","Fri Apr 14 12:56:38 GMT 2023","Fri Apr 14 12:56:38 GMT 2023","0","Test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"broken","Fri Apr 14 12:56:40 GMT 2023","Fri Apr 14 12:56:40 GMT 2023","0","Test","test_conduit","TestConduit","","","Meglévő adat módosítás",""
"broken","Fri Apr 14 12:56:39 GMT 2023","Fri Apr 14 12:56:39 GMT 2023","0","Test","test_conduit","TestConduit","","","Új adat bevitel",""
"broken","Fri Apr 14 12:56:41 GMT 2023","Fri Apr 14 12:56:41 GMT 2023","0","Test","test_conduit","TestConduit","","","Adatok lementése felületről",""
"broken","Fri Apr 14 12:56:36 GMT 2023","Fri Apr 14 12:56:36 GMT 2023","0","Test","test_conduit","TestConduit","","","Regisztráció",""
"broken","Fri Apr 14 12:56:36 GMT 2023","Fri Apr 14 12:56:36 GMT 2023","0","Test","test_conduit","TestConduit","","","Bejelentkezés",""
"broken","Fri Apr 14 12:56:41 GMT 2023","Fri Apr 14 12:56:41 GMT 2023","0","Test","test_conduit","TestConduit","","","Adat vagy adatok törlése",""
"broken","Fri Apr 14 12:56:42 GMT 2023","Fri Apr 14 12:56:42 GMT 2023","0","Test","test_conduit","TestConduit","","","Kijelentkezés",""
"broken","Fri Apr 14 12:56:34 GMT 2023","Fri Apr 14 12:56:34 GMT 2023","0","Test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat használata",""
"broken","Fri Apr 14 12:56:39 GMT 2023","Fri Apr 14 12:56:39 GMT 2023","0","Test","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból",""
