"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 22 21:12:47 GMT 2023","Sat Apr 22 21:13:07 GMT 2023","19721","Test","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból",""
"passed","Sat Apr 22 21:12:33 GMT 2023","Sat Apr 22 21:12:46 GMT 2023","12476","Test","test_conduit","TestConduit","","","Új adat bevitel",""
"passed","Sat Apr 22 21:12:31 GMT 2023","Sat Apr 22 21:12:32 GMT 2023","944","Test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Sat Apr 22 21:13:12 GMT 2023","Sat Apr 22 21:13:26 GMT 2023","14712","Test","test_conduit","TestConduit","","","Adat vagy adatok törlése",""
"passed","Sat Apr 22 21:13:28 GMT 2023","Sat Apr 22 21:13:30 GMT 2023","2480","Test","test_conduit","TestConduit","","","Adatok lementése felületről",""
"passed","Sat Apr 22 21:12:09 GMT 2023","Sat Apr 22 21:12:14 GMT 2023","5060","Test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat használata",""
"passed","Sat Apr 22 21:12:15 GMT 2023","Sat Apr 22 21:12:17 GMT 2023","2409","Test","test_conduit","TestConduit","","","Regisztráció",""
"passed","Sat Apr 22 21:12:25 GMT 2023","Sat Apr 22 21:12:30 GMT 2023","5398","Test","test_conduit","TestConduit","","","Adatok listázása",""
"passed","Sat Apr 22 21:13:31 GMT 2023","Sat Apr 22 21:13:34 GMT 2023","2314","Test","test_conduit","TestConduit","","","Kijelentkezés",""
"passed","Sat Apr 22 21:12:18 GMT 2023","Sat Apr 22 21:12:24 GMT 2023","5270","Test","test_conduit","TestConduit","","","Bejelentkezés",""
"passed","Sat Apr 22 21:13:08 GMT 2023","Sat Apr 22 21:13:11 GMT 2023","2704","Test","test_conduit","TestConduit","","","Meglévő adat módosítás",""
