"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 22 20:24:21 GMT 2023","Sat Apr 22 20:24:24 GMT 2023","2598","Test","test_conduit","TestConduit","","","Adatok lementése felületről",""
"passed","Sat Apr 22 20:23:25 GMT 2023","Sat Apr 22 20:23:38 GMT 2023","12835","Test","test_conduit","TestConduit","","","Új adat bevitel",""
"passed","Sat Apr 22 20:23:22 GMT 2023","Sat Apr 22 20:23:24 GMT 2023","1536","Test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Sat Apr 22 20:22:59 GMT 2023","Sat Apr 22 20:23:04 GMT 2023","5070","Test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat használata",""
"passed","Sat Apr 22 20:24:01 GMT 2023","Sat Apr 22 20:24:04 GMT 2023","2919","Test","test_conduit","TestConduit","","","Meglévő adat módosítás",""
"passed","Sat Apr 22 20:24:25 GMT 2023","Sat Apr 22 20:24:27 GMT 2023","2378","Test","test_conduit","TestConduit","","","Kijelentkezés",""
"passed","Sat Apr 22 20:23:05 GMT 2023","Sat Apr 22 20:23:08 GMT 2023","2659","Test","test_conduit","TestConduit","","","Regisztráció",""
"passed","Sat Apr 22 20:23:09 GMT 2023","Sat Apr 22 20:23:14 GMT 2023","5354","Test","test_conduit","TestConduit","","","Bejelentkezés",""
"passed","Sat Apr 22 20:23:39 GMT 2023","Sat Apr 22 20:24:00 GMT 2023","20581","Test","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból",""
"passed","Sat Apr 22 20:23:16 GMT 2023","Sat Apr 22 20:23:21 GMT 2023","5510","Test","test_conduit","TestConduit","","","Adatok listázása",""
"passed","Sat Apr 22 20:24:05 GMT 2023","Sat Apr 22 20:24:20 GMT 2023","14885","Test","test_conduit","TestConduit","","","Adat vagy adatok törlése",""
